dist_matrix,time_matrix
"[0, 2332, 4373, 3783, 12520, 8205, 9211, 11205, 5644, 6801, 3584, 2122, 3513]","[0, 445, 767, 515, 1447, 990, 1115, 1323, 827, 971, 478, 428, 590]"
"[2543, 0, 2758, 6041, 12033, 8091, 7468, 7972, 5158, 9402, 5842, 724, 1057]","[464, 0, 493, 886, 1351, 971, 899, 956, 731, 1073, 849, 124, 206]"
"[3311, 1159, 0, 6809, 12265, 8859, 8390, 8893, 5389, 10171, 6610, 1712, 2156]","[567, 218, 0, 988, 1378, 1073, 999, 1055, 757, 1175, 952, 294, 357]"
"[3789, 5991, 6805, 0, 14211, 11548, 12000, 13430, 7459, 6943, 1867, 6619, 6515]","[486, 797, 980, 0, 1480, 1302, 1558, 1608, 884, 958, 244, 861, 858]"
"[11693, 11869, 11988, 18990, 0, 19080, 18804, 19493, 8497, 19918, 19092, 12497, 12141]","[1332, 1362, 1419, 1453, 0, 2166, 2116, 1549, 986, 2222, 1460, 1426, 1424]"
"[8838, 8386, 12424, 12128, 19842, 0, 6991, 12045, 12966, 7895, 11929, 8042, 9567]","[1134, 986, 1426, 1415, 2218, 0, 975, 1427, 1598, 900, 1378, 946, 1130]"
"[9196, 7125, 9780, 12513, 19055, 8808, 0, 11066, 12179, 14715, 12314, 6973, 7494]","[1124, 789, 1233, 1489, 2091, 993, 0, 1109, 1471, 1529, 1452, 763, 835]"
"[11162, 8015, 8020, 14478, 22076, 12029, 11375, 0, 10293, 16681, 14279, 8131, 7231]","[1350, 1019, 940, 1714, 1650, 1430, 1198, 0, 1153, 1754, 1678, 1011, 928]"
"[5214, 5551, 5670, 7506, 8655, 12601, 12486, 10986, 0, 13439, 7846, 6179, 5823]","[733, 795, 852, 929, 971, 1566, 1550, 1376, 0, 1623, 987, 859, 857]"
"[7563, 9198, 13236, 7561, 20654, 7509, 14620, 16615, 13778, 0, 6644, 8854, 10379]","[1074, 1047, 1487, 932, 2280, 884, 1551, 1759, 1659, 0, 823, 1008, 1191]"
"[3941, 5678, 7717, 912, 18540, 11344, 12415, 14409, 7861, 6327, 0, 5468, 7427]","[552, 876, 1088, 108, 1425, 1288, 1518, 1726, 916, 874, 0, 859, 966]"
"[2120, 600, 4639, 5617, 12504, 7558, 7336, 9304, 5629, 8870, 5418, 0, 1781]","[400, 118, 558, 822, 1406, 886, 874, 1003, 786, 988, 785, 0, 263]"
"[3479, 1027, 3904, 6977, 12433, 8582, 7539, 8568, 5557, 10339, 6778, 1232, 0]","[546, 165, 471, 968, 1350, 1003, 869, 916, 730, 1154, 931, 173, 0]"
